NDA,Generic Name ,DDI annotation based on study criteria,Total number of mechanisms per OAD according to study criteria,Additional DDI annotations based on mechanisms that did not meet study criteria but have actionable recommendations in U.S. Food and Drug Administration drug labels ,DDI mechanisms identified by study criteria but do not have actionable FDA recommendations,Final DDI annotation,Brand Name,Class,Date Approved,# of DDI Studies,Drug 1,P/V?,Type,CMaxR,AUCR,Source,Drug 2,P/V?,Type,CMaxR,AUCR,Source,Drug 3,P/V?,Type,CMaxR,AUCR,Source,Drug 4,P/V?,Type,CMaxR,AUCR,Source,Drug 5,P/V?,Type,CMaxR,AUCR,Source,Drug 6,P/V?,Type,CMaxR,AUCR,Source,Drug 7,P/V?,Type,CMaxR,AUCR,Source,Drug 8,P/V?,Type,CMaxR,AUCR,Source,Drug 9,P/V?,Type,CMaxR,AUCR,Source,Drug 10,P/V?,Type,CMaxR,AUCR,Source,Drug 11,P/V?,Type,CMaxR,AUCR,Source,Drug 12,P/V?,Type,CMaxR,AUCR,Source,Drug 13,P/V?,Type,CMaxR,AUCR,Source,Drug 14,P/V?,Type,CMaxR,AUCR,Source,Drug 15,P/V?,Type,CMaxR,AUCR,Source,Drug 16,P/V?,Type,CMaxR,AUCR,Source,Drug 17,P/V?,Type,CMaxR,AUCR,Source,Drug 18,P/V?,Type,CMaxR,AUCR,Source,Drug 19,P/V?,Type,CMaxR,AUCR,Source,Drug 20,P/V?,Type,CMaxR,AUCR,Source,Drug 21,P/V?,Type,CMaxR,AUCR,Source,Drug 22,P/V?,Type,CMaxR,AUCR,Source
212608,Avapritinib,"Moderately sensitive CYP3A Substrate, victim with strong and moderate inducers",2,None,None,"Moderately sensitive CYP3A Substrate, victim with strong and moderate inducers",Ayvakit,TKI,09/01/20,5,Rifampin (M),Vic,DDI,0.26,0.08,FDA Label,Efavirenz,Vic,PBPK,0.45,0.38,FDA Label,Itraconazole ,Vic,DDI,1.38,4.21,FDA Label,Fluconazole,Vic,PBPK,2.77,3.05,FDA Label,PPIs,Vic,POPPK,N/A,0.77,FDA Label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202324,Axitinib,"Moderately sensitive CYP3A Substrate, victim with strong inducers",2,None,None,"Moderately sensitive CYP3A Substrate, victim with strong inducers",Inlyta,TKI,27/01/12,3,Rifampin (M),Vic,DDI,0.29,0.21,FDA Label,Ketoconazole,Vic,DDI,1.5,2.06,"FDA Label, PMID: 20740300",Rabeprazole,Vic,DDI,0.58,0.85,"FDA Label, PMID: 16027439",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215383,Belzutifan,None,0,CYP3A inducer,None,CYP3A inducer,Welireg,HIF2A Inhibitor,13/08/21,1,Midazolam,Perp,DDI,0.66,0.6,FDA Label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21055,Bexarotene,Moderate CYP3A inducer,1,Victim with gemfibrozil,Moderate CYP3A inducer,"Moderate CYP3A inducer, Victim with gemfibrozil",Targretin,RXR Activator,12/29/1999; Label date: 07/29/2015,5,Ketoconazole,Vic,DDI,NC,NC,FDA Label,Atorvastatin,Both,DDI,NC (both),"NC (bexa), 0.5 (atorva)","FDA Label, PMID: 22057855",Paclitaxel + Carboplatin,Both,DDI,Bexa: 2.00,"Carbo: 1.10, Pac: 0.81, Bexa:1.8","FDA Label, PMID: 22057853",Tamoxifen,Perp,DDI,0.65,,FDA Label,Gemfibrozil,Vic,DDI,Increase,Increase,FDA Label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20498,Bicalutamide,None,0,None,None,None,Casodex,Androgen Receptor Inhibitor,1995; Label date: 11/01/2017,3,Midazolam,Perp,DDI,1.5,1.9,FDA Label,Tamoxifen,Vic,DDI,0.9,,PMID: 15838655,Anastrozole,Vic,DDI,0.85,,PMID: 15838655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210498,Binimetinib,None,0,None,None,None,Mektovi,TKI,27/06/18,2,Midazolam,Perp,DDI,0.93,1.1,FDA Label,Rabeprazole,Vic,DDI,N/A,NC,FDA Label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203341,Bosutinib,"Strongly sensitive CYP3A substrate, victim with strong inducers",2,Affected by PPIs,None,"Strongly sensitive CYP3A substrate, victim with strong inducers, Affected by PPIs",Bosulif,"TKI (BCR-ABL, SRC Family)",04/09/12,10,Ketoconazole,Vic,DDI,5.2,8.6,"FDA Label, PMID: 21148045",Aprepitant,Vic,DDI,1.53,2.08,"FDA Label, PMID: 27718000",Rifampin (M),Vic,DDI,0.14,0.06,"FDA Label, PMID: 25803093",Lansoprazole,Vic,DDI,0.54,0.74,FDA Label,Dabigatran,Perp,DDI,0.88,1,"FDA Label, PMID: 27717999",Fluvoxamine,Vic,PBPK,1,1,PMID: 28167538,Fluconazole,Vic,PBPK,2.3,3.4,PMID: 28167538,Erythromycin,Vic,PBPK,2.5,4,PMID: 28167538,Verapamil,Vic,PBPK,2.4,5.1,"PMIDs: 28167538, 29739809",Itraconazole,Vic,PBPK,2,8.5,PMID: 29739809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208772,Brigatinib,"Moderately sensitive CYP3A Substrate, victim with strong inducers",2,Victim with moderate inducers,None,"Moderately sensitive CYP3A Substrate, victim with strong and moderate inducers",Alunbrig,TKI,28/04/17,4,Rifampin (M),Vic,DDI,0.4,0.2,"FDA Label, PMID: 31287236",Itraconazole,Vic,DDI,1.21,2.01,"FDA Label, PMID: 31287236",Gemfibrozil,Vic,DDI,0.59,0.88,"FDA Label, PMID: 31287236",Midazolam,Perp,DDI,0.84,0.74,"FDA Label, PMID: 36579743",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208692,Cabozantinib,Victim with strong inducers,1,"CYP3A substrate, Victim with moderate inducers",None,"CYP3A substrate, Victim with srong and moderate inducers",Cabometyx,TKI,25/04/16,4,Rifampin (M),Vic,DDI,1.04,0.23,"FDA Label, PMID: 25854986",Ketoconazole,Vic,DDI,0.97,1.38,"FDA Label, PMID: 25854986",Rosiglitazone,Perp,DDI,1.04,1.07,"FDA Label, PMID: 25854986",Esomeprazole,Vic,DDI,1.09,1.09,"FDA Label, PMID: 25907407",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20896,Capecitabine,None,0,Victim with allopurinol ,None,Victim with allopurinol ,Xeloda,Antimetabolite,1998; Label date: 12/14/2022,10,Al OH + Mg OH,Vic,DDI,1.35,1.16,FDA Label,Warfarin,Perp,DDI,,1.57,FDA Label,Celecoxib,Perp,DDI,1.24,1.28,"FDA Label, PMID: 31274208",Docetaxel,Both,DDI,NC (both),NC (both),FDA Label,Sorafenib,Vic,DDI,0.88,1.17,PMID: 21626051,Irinotecan,Perp,DDI,1.07,0.88,"PMIDs: 17195945, 16080556",Rilotumumab,Vic,DDI,1.12,1.46,PMID: 27966237,Vinorelbine,Both,DDI,,Vin: 1.02; Cape: NC,PMID: 16303864,Esomperazole,Vic,DDI,1.1,1.19,PMID: 34656072,Cetuximab,Vic,DDI,0.86,0.93,PMID: 27630318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213591,Capmatinib,"Victim with strong inducers, Moderate CYP1A2 Inhibitor, Moderate BCRP Inhibitor",3,"P-gp inhibitor, MATE1 or MATE2K inhibitor, victim with moderate inducers",None,"Victim with strong and moderate inducers, Moderate CYP1A2 Inhibitor, Moderate BCRP Inhibitor, P-gp inhibitor, MATE1 or MATE2K inhibitor",Tabrecta,TKI,06/05/20,8,Rifampin (M) ,Vic,DDI,0.44,0.33,"FDA Label, PMID: 36087217",Efavirenz,Vic,PBPK,0.66,0.56,FDA Label,Itraconazole,Vic,DDI,1.03,1.42,"FDA Label, PMID: 36087217",Midazolam,Perp,DDI,1.22,1.09,"FDA Label, PMID: 36131603",Caffeine,Perp,DDI,1.04,2.34,"FDA Label, PMID: 36131603",Rabeprazole,Vic,DDI,0.62,0.75,FDA Label,Digoxin,Perp,DDI,1.74,1.47,"FDA Label, PMID: 33300203",Rosuvastatin,Perp,DDI,3.04,2.08,"FDA Label, PMID: 33300203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
