NDA,Generic Name ,Brand Name,Class,Date Approved,Drug(s) Study 1,P/V?,Type,Outcome(s),Source(s),Drug(s) Study 2,P/V?,Type,Outcome(s),Source(s),,
208065,Osimertinib,Tagrisso,TKI,13/11/15,None,,,,,,,,,,,
207103,Palbociclib ,Ibrance,CDK4/6 Inhib,03/02/15,PPIs,Vic,Outcomes Study,Reduced PFS during co-administration with PPIs,"PMIDs: 34509802, 35525929",,,,,,,
205353,Panobinostat,Farydak,HDAC Inhibitor,23/02/15,None,,,,,,,,,,,
22465,Pazopanib,Votrient,TKI,19/10/09,Weak CYP3A4 or P-gp inhibitors  ,Vic,Outcomes Study,Increased sunitinib or pazopanib dose reduction,PMID: 31932871,,,,,,,
213736,Pemigatinib,Pemazyre,TKI,17/04/20,None,,,,,,,,,,,
211810,Pexidartinib,Turalio,"TKI (CSF1R, KIT, FLT3)",02/08/19,None,,,,,,,,,,,
204026,Pomalidomide,Pomalyst,Thalidomide Analog,08/02/13,None,,,,,,,,,,,
203469,Ponatinib,Iclusig,"TKI (BCR-ABL, VEGFR, PDGFR, FGFR, EPH, SRC Family)",14/12/12,None,,,,,,,,,,,
213721,Pralsetinib,Gavreto,TKI,04/09/20,None,,,,,,,,,,,
203085,Regorafenib,Stivarga,TKI,27/09/12,None,,,,,,,,,,,
214621,Relugolix,Orgovyx,GnRH Receptor Antagonist,18/12/20,None,,,,,,,,,,,
209092,Ribociclib,"Kisqali, Kryxana",CDK4/6 Inhib,13/03/17,PPIs,Vic,Outcomes Study,Reduced PFS during co-administration with PPIs,PMID: 35525929,,,,,,,
213973,Ripretinib,Qinlock,TKI,15/05/20,None,,,,,,,,,,,
209115,Rucaparib,Rubraca,PARP Inhib,19/12/16,None,,,,,,,,,,,
212306,Selinexor,Xpovio,Nuclear Export Inhibitor,03/07/19,None,,,,,,,,,,,
213246,Selpercatinib,Retevmo,TKI,08/05/20,None,,,,,,,,,,,
213756,Selumetinib,Koselugo,TKI,10/04/20,None,,,,,,,,,,,
205266,Sonidegib,Odomzo,Hedgehog Inhibitor,24/07/15,None,,,,,,,,,,,
21923,Sorafenib,Nexavar,TKI,01/12/05,PPIs,Vic,Outcomes Studies,"No difference in PFS or ORR, No difference in OS and PFS","PMIDs: 28645482, 32449002",,,,,,,
214665,Sotorasib,Lumakras,KRAS Inhibitor,28/05/21,None,,,,,,,,,,,
21938,Sunitinib,Sutent,TKI,26/01/06,Weak CYP3A4 or P-gp inhibitors  ,Vic,Outcomes Study,Increased sunitinib or pazopanib dose reduction,PMID: 31932871,PPIs,Vic,Outcomes Studies,"No difference in PFS or ORR, Reduced PFS and OS, Reduced OS","PMIDs: 28645482, 24664477, 33021843",,
211651,Talazoparib,Talzenna,PARP Inhib,16/10/18,None,,,,,,,,,,,
21807,Tamoxifen,"Nolvadex, Soltamox (Soltamox label used)",SERM,1977; Label date: 04/08/2019,None,,,,,,,,,,,
211723,Tazemetostat,Tazverik,Methyltransferase Inhibitor,23/01/20,None,,,,,,,,,,,
214096,Tepotinib,Tepmetko,TKI,03/02/21,None,,,,,,,,,,,
20785,Thalidomide,Thalomid,Thalidomide,16/07/98,None,,,,,,,,,,,
207981,Tipiracil + Trifluridine,Lonsurf,Nucleoside Metabolic Inhibitor; Thymidine Phosphorylase Inhibitor,22/09/15,None,,,,,,,,,,,
212904,Tivozanib,Fotivda,TKI,10/03/21,None,,,,,,,,,,,
20497,Toremifene,Fareston,SERM,1997; Label date: 05/12/2017,None,,,,,,,,,,,
204114,Trametinib,Mekinist,TKI,29/05/13,None,,,,,,,,,,,
213411,Tucatinib,Tukysa,TKI,17/04/20,None,,,,,,,,,,,
213176,Umbralisib,Ukoniq,PI3K Inhib,05/02/21,None,,,,,,,,,,,
22405,Vandetanib,Caprelsa,TKI,06/04/11,None,,,,,,,,,,,
202429,Vemurafenib,Zelboraf,"TKI (BRAF, CRAF, ARAF, SRMS, ACK1, MAP4K5, FGR)",17/08/11,None,,,,,,,,,,,
208573,Venetoclax,Venclexta,BCL-2 Inhibitor,11/04/16,None,,,,,,,,,,,
203388,Vismodegib,Erivedge,Hedgehog Inhibitor,30/01/12,None,,,,,,,,,,,
21991,Vorinostat,Zolinza,HDAC Inhibitor,06/10/06,None,,,,,,,,,,,
213217,Zanubritinib,Brukinsa,TKI (BTK),14/11/19,None,,,,,,,,,,,
